photos;name;price;enabled;amount;currency;producer;properties;description;category;sku;briefdescription
"http://www.breezart.ru/export/photo/2700_aqua_rr_f.png?1658127181; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127181; https://v-conn.ru/export/struct/aqua_rr_f.png?1658127181; https://v-conn.ru/export/ventchar/2700_aqua_rr_f_vent.png?1658127181; https://v-conn.ru/export/draw/2700_aqua_rr_f.png?1658127181; ";Приточно-вытяжная установка с фреоновым охладителем Breezart 2700 Aqua RR F;1 740 500 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-6-4 | S3-25-8-4 | S2-25-6-1; Тип охладителя: фреоновый; Код охладителя: F63; Тип рекуператора: роторный; Максимальная потребляемая мощность: 1,7 кВт-220В | 1,9 кВт-220В; Максимальный потребляемый ток: 7,7 А | 8,4 А; Напряжение питания: 220 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 65 дБА | 70 дБА | 56 дБА; Уровень звукового давления LpA от корпуса: 41 дБА; Масса: 265 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Приточно-вытяжная установка с роторным рекуператором, фреоновым охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками. Автоматика может управлять различными типами ККБ.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Управление ККБ различного типа, в том числе сигналом 0-10В.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722174;"Тип: Приточно-вытяжная установка с роторным рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>2700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/2700_aqua_rr_w.png?1658127181; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127181; https://v-conn.ru/export/struct/aqua_rr_w.png?1658127181; https://v-conn.ru/export/ventchar/2700_aqua_rr_w_vent.png?1658127181; https://v-conn.ru/export/draw/2700_aqua_rr_w.png?1658127181; ";Приточно-вытяжная установка с водяным охладителем Breezart 2700 Aqua RR W;1 740 500 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-6-4 | S3-25-8-4 | S2-25-6-1; Тип охладителя: водяной; Код охладителя: C63; Тип рекуператора: роторный; Максимальная потребляемая мощность: 1,7 кВт-220В | 1,9 кВт-220В; Максимальный потребляемый ток: 7,7 А | 8,4 А; Напряжение питания: 220 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 65 дБА | 70 дБА | 56 дБА; Уровень звукового давления LpA от корпуса: 41 дБА; Масса: 265 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Приточно-вытяжная установка с роторным рекуператором, водяным охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722999;"Тип: Приточно-вытяжная установка с роторным рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>2700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/2700_lux_rp_f_pb.png?1658127171; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127171; https://v-conn.ru/export/struct/lux_rp_fw.png?1658127171; https://v-conn.ru/export/ventchar/2700_lux_rp_f_pb_vent.png?1658127171; https://v-conn.ru/export/draw/2700_lux_rp_fw.png?1658127171; ";Приточно-вытяжная установка с фреоновым охладителем Breezart 2700 Lux RP F PB;1 400 700;+;1;RUB;Breezart;"Тип нагревателя: электрический; Код нагревателя: 15 кВт-380В | 22,5 кВт-380В; Тип охладителя: фреоновый; Код охладителя: F63; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 16,5 кВт-380В | 24 кВт-380В; Максимальный потребляемый ток: 29,6 А | 41,0 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 68 дБА | 77 дБА | 61 дБА; Уровень звукового давления LpA от корпуса: 47 дБА; Масса: 430 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Напольная приточно-вытяжная установка с противоточным пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С), фреоновым охладителем и электрическим нагревателем. Комплектуется воздушными клапанами с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками. Автоматика может управлять различными типами ККБ.

 
  <ul>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Система защиты от замерзания и система разморозки рекуператора.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Управление ККБ различного типа, в том числе сигналом 0-10В.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722896;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>2700 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>15 кВт-380В | 22,5 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/2700_lux_rp_pb.png?1658127168; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127168; https://v-conn.ru/export/struct/lux_rp_pb.png?1658127168; https://v-conn.ru/export/ventchar/2700_lux_rp_pb_vent.png?1658127168; https://v-conn.ru/export/draw/2700_lux_rp.png?1658127168; ";Приточно-вытяжная установка Breezart 2700 Lux RP PB;1 267 600;+;1;RUB;Breezart;"Тип нагревателя: электрический; Код нагревателя: 15 кВт-380В | 22,5 кВт-380В; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 16,5 кВт-380В | 24 кВт-380В; Максимальный потребляемый ток: 29,6 А | 41,0 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 68 дБА | 77 дБА | 61 дБА; Уровень звукового давления LpA от корпуса: 47 дБА; Масса: 370 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Напольная приточно-вытяжная установка с противоточным пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С) и электрическим нагревателем, комплектуется воздушными клапанами с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Система защиты от замерзания и система разморозки рекуператора.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722552;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>2700 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>15 кВт-380В | 22,5 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/2700_lux_rp_sb.png?1658127173; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127173; https://v-conn.ru/export/struct/2000_lux_rp_sb.png?1658127173; https://v-conn.ru/export/ventchar/2700_lux_rp_sb_vent.png?1658127173; https://v-conn.ru/export/draw/2700_lux_rp_sb.png?1658127173; ";Приточно-вытяжная установка Breezart 2700 Lux RP SB;1 180 200;+;1;RUB;Breezart;"Тип нагревателя: электрический; Код нагревателя: 15 кВт-380В | 18 кВт-380В; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 16,5 кВт-380В | 19,5 кВт-380В; Максимальный потребляемый ток: 29,6 А | 34,1 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 68 дБА | 77 дБА | 61 дБА; Уровень звукового давления LpA от корпуса: 47 дБА; Масса: 345 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Подвесная приточно-вытяжная установка с пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С) и электрическим нагревателем. Комплектуется воздушными клапанами с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Система защиты от замерзания и система разморозки рекуператора.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722479;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>2700 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>15 кВт-380В | 18 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/2700_lux_rp_w_pb.png?1658127171; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127171; https://v-conn.ru/export/struct/lux_rp_fw.png?1658127171; https://v-conn.ru/export/ventchar/2700_lux_rp_w_pb_vent.png?1658127171; https://v-conn.ru/export/draw/2700_lux_rp_fw.png?1658127171; ";Приточно-вытяжная установка с водяным охладителем Breezart 2700 Lux RP W PB;1 400 700;+;1;RUB;Breezart;"Тип нагревателя: электрический; Код нагревателя: 15 кВт-380В | 22,5 кВт-380В; Тип охладителя: водяной; Код охладителя: C63; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 16,5 кВт-380В | 24 кВт-380В; Максимальный потребляемый ток: 29,6 А | 41,0 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 68 дБА | 77 дБА | 61 дБА; Уровень звукового давления LpA от корпуса: 47 дБА; Масса: 430 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Напольная приточно-вытяжная установка с противоточным пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С), водяным охладителем и электрическим нагревателем. Комплектуется воздушными клапанами с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722412;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>2700 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>15 кВт-380В | 22,5 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/3700_aqua_rp_f_pb.png?1658127183; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127183; https://v-conn.ru/export/struct/aqua_rp_fw.png?1658127183; https://v-conn.ru/export/ventchar/3700_aqua_rp_f_pb_vent.png?1658127183; https://v-conn.ru/export/draw/3700_aqua_rp_fw.png?1658127183; ";Приточно-вытяжная установка с фреоновым охладителем Breezart 3700 Aqua RP F PB;1 590 100 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-8-4 | S2-25-6-1; Тип охладителя: фреоновый; Код охладителя: F63; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 2,4 кВт-380В | 2,2 кВт-380В; Максимальный потребляемый ток: 4,4 А | 3,7 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 75 дБА | 81 дБА | 66 дБА; Уровень звукового давления LpA от корпуса: 51 дБА; Масса: 476 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Напольная приточно-вытяжная установка с противоточным пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С), фреоновым охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками. Автоматика может управлять различными типами ККБ.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Система защиты от замерзания и система разморозки рекуператора.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Управление ККБ различного типа, в том числе сигналом 0-10В.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722408;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>3700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/3700_aqua_rp_pb.png?1658127182; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127182; https://v-conn.ru/export/struct/aqua_rp_pb.png?1658127182; https://v-conn.ru/export/ventchar/3700_aqua_rp_pb_vent.png?1658127182; https://v-conn.ru/export/draw/3700_aqua_rp.png?1658127182; ";Приточно-вытяжная установка Breezart 3700 Aqua RP PB;1 456 900 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-8-4 | S2-25-6-1; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 2,4 кВт-380В | 2,2 кВт-380В; Максимальный потребляемый ток: 4,4 А | 3,7 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 75 дБА | 81 дБА | 66 дБА; Уровень звукового давления LpA от корпуса: 51 дБА; Масса: 406 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Напольная приточно-вытяжная установка с противоточным пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С), водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Система защиты от замерзания и система разморозки рекуператора.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722301;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>3700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/3700_aqua_rp_w_pb.png?1658127185; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127185; https://v-conn.ru/export/struct/aqua_rp_fw.png?1658127185; https://v-conn.ru/export/ventchar/3700_aqua_rp_w_pb_vent.png?1658127185; https://v-conn.ru/export/draw/3700_aqua_rp_fw.png?1658127185; ";Приточно-вытяжная установка с водяным охладителем Breezart 3700 Aqua RP W PB;1 590 100 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-8-4 | S2-25-6-1; Тип охладителя: водяной; Код охладителя: C63; Тип рекуператора: пластинчатый; Максимальная потребляемая мощность: 2,4 кВт-380В | 2,2 кВт-380В; Максимальный потребляемый ток: 4,4 А | 3,7 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 75 дБА | 81 дБА | 66 дБА; Уровень звукового давления LpA от корпуса: 51 дБА; Масса: 476 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Напольная приточно-вытяжная установка с противоточным пластинчатым рекуператором (с системой защиты от замерзания, эффективная работа до -35°С), водяным охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Система защиты от замерзания и система разморозки рекуператора.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722234;"Тип: Приточно-вытяжная установка с пластинчатым рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>3700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/3700_aqua_rr.png?1658127180; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127180; https://v-conn.ru/export/struct/aqua_rr.png?1658127180; https://v-conn.ru/export/ventchar/3700_aqua_rr_vent.png?1658127180; https://v-conn.ru/export/draw/3700_aqua_rr.png?1658127180; ";Приточно-вытяжная установка Breezart 3700 Aqua RR;1 617 100 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-6-4 | S3-25-8-4 | S2-25-6-1; Тип рекуператора: роторный; Максимальная потребляемая мощность: 2,3 кВт-380В | 2,5 кВт-380В; Максимальный потребляемый ток: 4,1 А | 4,8 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 73 дБА | 82 дБА | 65 дБА; Уровень звукового давления LpA от корпуса: 49 дБА; Масса: 370 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Приточно-вытяжная установка с роторным рекуператором, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722106;"Тип: Приточно-вытяжная установка с роторным рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>3700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/3700_aqua_rr_f.png?1658127181; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127181; https://v-conn.ru/export/struct/aqua_rr_f.png?1658127181; https://v-conn.ru/export/ventchar/3700_aqua_rr_f_vent.png?1658127181; https://v-conn.ru/export/draw/3700_aqua_rr_f.png?1658127181; ";Приточно-вытяжная установка с фреоновым охладителем Breezart 3700 Aqua RR F;1 760 000 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-6-4 | S3-25-8-4 | S2-25-6-1; Тип охладителя: фреоновый; Код охладителя: F63; Тип рекуператора: роторный; Максимальная потребляемая мощность: 2,3 кВт-380В | 2,5 кВт-380В; Максимальный потребляемый ток: 4,1 А | 4,8 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 65 дБА | 69 дБА | 56 дБА; Уровень звукового давления LpA от корпуса: 41 дБА; Масса: 420 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Приточно-вытяжная установка с роторным рекуператором, фреоновым охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками. Автоматика может управлять различными типами ККБ.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Управление ККБ различного типа, в том числе сигналом 0-10В.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];172273;"Тип: Приточно-вытяжная установка с роторным рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>3700 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/3700_aqua_rr_w.png?1658127182; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127182; https://v-conn.ru/export/struct/aqua_rr_w.png?1658127182; https://v-conn.ru/export/ventchar/3700_aqua_rr_w_vent.png?1658127182; https://v-conn.ru/export/draw/3700_aqua_rr_w.png?1658127182; ";Приточно-вытяжная установка с водяным охладителем Breezart 3700 Aqua RR W;1 760 000 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W63 со смесит. узлом S3-25-6-4 | S3-25-8-4 | S2-25-6-1; Тип охладителя: водяной; Код охладителя: C63; Тип рекуператора: роторный; Максимальная потребляемая мощность: 2,3 кВт-380В | 2,5 кВт-380В; Максимальный потребляемый ток: 4,1 А | 4,8 А; Напряжение питания: 380 В; Уровень шума LwA на вых. притока | вх. вытяжки | от корпуса: 65 дБА | 69 дБА | 56 дБА; Уровень звукового давления LpA от корпуса: 41 дБА; Масса: 420 кг; Код воздушного фильтра: ФВК-600-350-300-6-G4; ";"


Приточно-вытяжная установка с роторным рекуператором, водяным охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения). Комплектуется воздушными клапанами с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточно-вытяжные установки >> Breezart];1722254;"Тип: Приточно-вытяжная установка с роторным рекуператором   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>3700 м³/ч</td></tr>                       </tbody>"
